incident_id,date,threat_type,severity,affected_system,risk_score
1,2026-01-05,Phishing,High,Email Server,85
2,2026-01-08,Malware,Critical,Workstation,95
3,2026-01-12,Brute Force,Medium,VPN Gateway,60
4,2026-01-15,Phishing,Medium,Email Server,65
5,2026-01-19,Ransomware,Critical,File Server,98
6,2026-01-22,Data Leak,High,Database,88
7,2026-02-02,Brute Force,High,VPN Gateway,78
8,2026-02-06,Malware,High,Workstation,82
9,2026-02-10,Phishing,Low,Email Server,40
10,2026-02-14,Ransomware,Critical,File Server,99
11,2026-02-18,Data Leak,High,Database,90
12,2026-02-21,Brute Force,Medium,VPN Gateway,55
13,2026-03-01,Phishing,High,Email Server,80
14,2026-03-05,Malware,Medium,Workstation,68
15,2026-03-09,Ransomware,Critical,File Server,97
16,2026-03-12,Data Leak,Medium,Database,72
17,2026-03-16,Phishing,Medium,Email Server,62
18,2026-03-20,Brute Force,High,VPN Gateway,75
19,2026-03-24,Malware,High,Workstation,84
20,2026-03-28,Data Leak,Critical,Database,93
